data,ano,mes,dia,dia_da_semana,trimestre
2017-10-02,2017,10,2,Monday,4
2018-07-24,2018,7,24,Tuesday,3
2018-08-08,2018,8,8,Wednesday,3
2017-11-18,2017,11,18,Saturday,4
2018-02-13,2018,2,13,Tuesday,1
2017-07-09,2017,7,9,Sunday,3
2017-04-11,2017,4,11,Tuesday,2
2017-05-16,2017,5,16,Tuesday,2
2017-01-23,2017,1,23,Monday,1
2017-07-29,2017,7,29,Saturday,3
2017-07-13,2017,7,13,Thursday,3
2018-06-07,2018,6,7,Thursday,2
2018-07-25,2018,7,25,Wednesday,3
2018-03-01,2018,3,1,Thursday,1
2018-01-02,2018,1,2,Tuesday,1
2017-12-26,2017,12,26,Tuesday,4
2017-11-21,2017,11,21,Tuesday,4
2017-10-26,2017,10,26,Thursday,4
2017-09-18,2017,9,18,Monday,3
2018-03-15,2018,3,15,Thursday,1
2018-02-03,2018,2,3,Saturday,1
2018-01-08,2018,1,8,Monday,1
2018-08-09,2018,8,9,Thursday,3
2018-02-20,2018,2,20,Tuesday,1
2018-06-04,2018,6,4,Monday,2
2018-03-12,2018,3,12,Monday,1
2018-05-02,2018,5,2,Wednesday,2
2018-02-25,2018,2,25,Sunday,1
2017-08-10,2017,8,10,Thursday,3
2018-04-16,2018,4,16,Monday,2
2017-12-12,2017,12,12,Tuesday,4
2018-07-29,2018,7,29,Sunday,3
2018-02-17,2018,2,17,Saturday,1
2018-02-21,2018,2,21,Wednesday,1
2017-07-31,2017,7,31,Monday,3
2018-06-01,2018,6,1,Friday,2
2018-03-26,2018,3,26,Monday,1
2017-05-19,2017,5,19,Friday,2
2017-11-24,2017,11,24,Friday,4
2017-08-04,2017,8,4,Friday,3
2018-08-04,2018,8,4,Saturday,3
2017-05-18,2017,5,18,Thursday,2
2017-05-14,2017,5,14,Sunday,2
2018-05-17,2018,5,17,Thursday,2
2017-08-09,2017,8,9,Wednesday,3
2018-02-01,2018,2,1,Thursday,1
2018-06-26,2018,6,26,Tuesday,2
2018-07-26,2018,7,26,Thursday,3
2017-12-15,2017,12,15,Friday,4
2017-08-31,2017,8,31,Thursday,3
2018-06-11,2018,6,11,Monday,2
2018-03-09,2018,3,9,Friday,1
2017-03-13,2017,3,13,Monday,1
2017-06-13,2017,6,13,Tuesday,2
2017-11-30,2017,11,30,Thursday,4
2018-08-05,2018,8,5,Sunday,3
2017-11-15,2017,11,15,Wednesday,4
2018-02-19,2018,2,19,Monday,1
2018-04-22,2018,4,22,Sunday,2
2018-01-07,2018,1,7,Sunday,1
2018-02-10,2018,2,10,Saturday,1
2018-06-18,2018,6,18,Monday,2
2018-06-13,2018,6,13,Wednesday,2
2018-07-15,2018,7,15,Sunday,3
2017-09-13,2017,9,13,Wednesday,3
2018-04-13,2018,4,13,Friday,2
2018-02-15,2018,2,15,Thursday,1
2017-02-20,2017,2,20,Monday,1
2017-04-20,2017,4,20,Thursday,2
2017-09-15,2017,9,15,Friday,3
2018-07-28,2018,7,28,Saturday,3
2018-08-26,2018,8,26,Sunday,3
2017-07-30,2017,7,30,Sunday,3
2017-12-22,2017,12,22,Friday,4
2017-04-06,2017,4,6,Thursday,2
2017-05-09,2017,5,9,Tuesday,2
2017-10-16,2017,10,16,Monday,4
2017-12-08,2017,12,8,Friday,4
2017-08-26,2017,8,26,Saturday,3
2018-02-27,2018,2,27,Tuesday,1
2018-05-11,2018,5,11,Friday,2
2018-01-22,2018,1,22,Monday,1
2018-05-01,2018,5,1,Tuesday,2
2017-09-19,2017,9,19,Tuesday,3
2018-04-11,2018,4,11,Wednesday,2
2017-12-20,2017,12,20,Wednesday,4
2018-08-03,2018,8,3,Friday,3
2018-05-14,2018,5,14,Monday,2
2017-11-22,2017,11,22,Wednesday,4
2017-03-30,2017,3,30,Thursday,1
2018-06-05,2018,6,5,Tuesday,2
2017-05-17,2017,5,17,Wednesday,2
2018-07-30,2018,7,30,Monday,3
2018-02-06,2018,2,6,Tuesday,1
2017-01-28,2017,1,28,Saturday,1
2018-01-27,2018,1,27,Saturday,1
2017-07-01,2017,7,1,Saturday,3
2017-09-27,2017,9,27,Wednesday,3
2017-11-28,2017,11,28,Tuesday,4
2018-08-22,2018,8,22,Wednesday,3
2018-07-06,2018,7,6,Friday,3
2018-05-09,2018,5,9,Wednesday,2
2017-11-26,2017,11,26,Sunday,4
2017-09-29,2017,9,29,Friday,3
2017-06-27,2017,6,27,Tuesday,2
2018-01-23,2018,1,23,Tuesday,1
2018-08-20,2018,8,20,Monday,3
2018-01-30,2018,1,30,Tuesday,1
2018-03-31,2018,3,31,Saturday,1
2018-03-07,2018,3,7,Wednesday,1
2018-05-08,2018,5,8,Tuesday,2
2018-04-25,2018,4,25,Wednesday,2
2017-07-16,2017,7,16,Sunday,3
2017-09-03,2017,9,3,Sunday,3
2017-10-19,2017,10,19,Thursday,4
2018-07-22,2018,7,22,Sunday,3
2017-12-02,2017,12,2,Saturday,4
2018-01-09,2018,1,9,Tuesday,1
2018-07-18,2018,7,18,Wednesday,3
2017-03-28,2017,3,28,Tuesday,1
2018-06-08,2018,6,8,Friday,2
2017-07-10,2017,7,10,Monday,3
2018-05-16,2018,5,16,Wednesday,2
2018-07-05,2018,7,5,Thursday,3
2017-09-20,2017,9,20,Wednesday,3
2018-01-10,2018,1,10,Wednesday,1
2017-04-26,2017,4,26,Wednesday,2
2017-11-27,2017,11,27,Monday,4
2018-05-25,2018,5,25,Friday,2
2017-11-17,2017,11,17,Friday,4
2018-07-23,2018,7,23,Monday,3
2018-02-14,2018,2,14,Wednesday,1
2017-04-30,2017,4,30,Sunday,2
2017-05-15,2017,5,15,Monday,2
2017-07-22,2017,7,22,Saturday,3
2018-06-24,2018,6,24,Sunday,2
2018-07-02,2018,7,2,Monday,3
2017-03-06,2017,3,6,Monday,1
2017-10-04,2017,10,4,Wednesday,4
2017-12-21,2017,12,21,Thursday,4
2018-02-02,2018,2,2,Friday,1
2018-04-26,2018,4,26,Thursday,2
2018-05-30,2018,5,30,Wednesday,2
2018-03-29,2018,3,29,Thursday,1
2018-06-25,2018,6,25,Monday,2
2017-09-11,2017,9,11,Monday,3
2018-04-15,2018,4,15,Sunday,2
2018-01-13,2018,1,13,Saturday,1
2018-04-04,2018,4,4,Wednesday,2
2017-09-26,2017,9,26,Tuesday,3
2018-02-28,2018,2,28,Wednesday,1
2017-04-22,2017,4,22,Saturday,2
2018-01-18,2018,1,18,Thursday,1
2017-03-14,2017,3,14,Tuesday,1
2017-12-04,2017,12,4,Monday,4
2017-06-16,2017,6,16,Friday,2
2017-07-05,2017,7,5,Wednesday,3
2018-07-27,2018,7,27,Friday,3
2017-07-08,2017,7,8,Saturday,3
2017-06-25,2017,6,25,Sunday,2
2018-05-15,2018,5,15,Tuesday,2
2018-07-13,2018,7,13,Friday,3
2017-08-01,2017,8,1,Tuesday,3
2018-07-21,2018,7,21,Saturday,3
2017-03-09,2017,3,9,Thursday,1
2017-12-09,2017,12,9,Saturday,4
2018-08-01,2018,8,1,Wednesday,3
2018-04-09,2018,4,9,Monday,2
2017-04-27,2017,4,27,Thursday,2
2017-12-06,2017,12,6,Wednesday,4
2017-06-05,2017,6,5,Monday,2
2017-09-12,2017,9,12,Tuesday,3
2018-06-03,2018,6,3,Sunday,2
2018-05-23,2018,5,23,Wednesday,2
2018-08-10,2018,8,10,Friday,3
2018-04-18,2018,4,18,Wednesday,2
2018-02-05,2018,2,5,Monday,1
2017-11-16,2017,11,16,Thursday,4
2018-01-31,2018,1,31,Wednesday,1
2018-01-11,2018,1,11,Thursday,1
2017-06-04,2017,6,4,Sunday,2
2017-07-17,2017,7,17,Monday,3
2018-04-17,2018,4,17,Tuesday,2
2017-12-11,2017,12,11,Monday,4
2018-05-04,2018,5,4,Friday,2
2017-12-17,2017,12,17,Sunday,4
2018-03-18,2018,3,18,Sunday,1
2017-01-05,2017,1,5,Thursday,1
2017-12-24,2017,12,24,Sunday,4
2017-11-29,2017,11,29,Wednesday,4
2018-04-03,2018,4,3,Tuesday,2
2018-01-25,2018,1,25,Thursday,1
2018-06-16,2018,6,16,Saturday,2
2017-07-02,2017,7,2,Sunday,3
2018-01-16,2018,1,16,Tuesday,1
2018-02-22,2018,2,22,Thursday,1
2018-03-30,2018,3,30,Friday,1
2017-02-12,2017,2,12,Sunday,1
2018-06-06,2018,6,6,Wednesday,2
2017-02-08,2017,2,8,Wednesday,1
2018-06-30,2018,6,30,Saturday,2
2017-10-05,2017,10,5,Thursday,4
2018-04-10,2018,4,10,Tuesday,2
2018-02-08,2018,2,8,Thursday,1
2018-07-12,2018,7,12,Thursday,3
2018-02-11,2018,2,11,Sunday,1
2018-03-17,2018,3,17,Saturday,1
2018-05-07,2018,5,7,Monday,2
2018-01-24,2018,1,24,Wednesday,1
2018-06-09,2018,6,9,Saturday,2
2017-11-11,2017,11,11,Saturday,4
2018-06-28,2018,6,28,Thursday,2
2017-11-13,2017,11,13,Monday,4
2018-01-12,2018,1,12,Friday,1
2017-07-24,2017,7,24,Monday,3
2017-06-29,2017,6,29,Thursday,2
2018-01-19,2018,1,19,Friday,1
2018-03-27,2018,3,27,Tuesday,1
2017-01-21,2017,1,21,Saturday,1
2017-12-07,2017,12,7,Thursday,4
2018-06-12,2018,6,12,Tuesday,2
2018-07-03,2018,7,3,Tuesday,3
2017-05-23,2017,5,23,Tuesday,2
2018-01-14,2018,1,14,Sunday,1
2017-08-23,2017,8,23,Wednesday,3
2017-09-10,2017,9,10,Sunday,3
2018-08-21,2018,8,21,Tuesday,3
2018-05-27,2018,5,27,Sunday,2
2017-05-20,2017,5,20,Saturday,2
2016-10-05,2016,10,5,Wednesday,4
2017-07-28,2017,7,28,Friday,3
2017-12-05,2017,12,5,Tuesday,4
2018-02-09,2018,2,9,Friday,1
2018-08-02,2018,8,2,Thursday,3
2018-01-05,2018,1,5,Friday,1
2017-12-01,2017,12,1,Friday,4
2017-05-26,2017,5,26,Friday,2
2018-04-01,2018,4,1,Sunday,2
2017-04-19,2017,4,19,Wednesday,2
2017-08-17,2017,8,17,Thursday,3
2018-08-16,2018,8,16,Thursday,3
2018-07-01,2018,7,1,Sunday,3
2018-08-24,2018,8,24,Friday,3
2018-08-11,2018,8,11,Saturday,3
2018-07-11,2018,7,11,Wednesday,3
2018-07-31,2018,7,31,Tuesday,3
2017-10-11,2017,10,11,Wednesday,4
2017-11-25,2017,11,25,Saturday,4
2017-05-08,2017,5,8,Monday,2
2018-08-14,2018,8,14,Tuesday,3
2017-12-19,2017,12,19,Tuesday,4
2017-10-25,2017,10,25,Wednesday,4
2017-10-24,2017,10,24,Tuesday,4
2017-11-09,2017,11,9,Thursday,4
2017-02-23,2017,2,23,Thursday,1
2017-06-17,2017,6,17,Saturday,2
2017-05-29,2017,5,29,Monday,2
2018-05-24,2018,5,24,Thursday,2
2018-01-29,2018,1,29,Monday,1
2017-03-22,2017,3,22,Wednesday,1
2017-11-06,2017,11,6,Monday,4
2017-12-16,2017,12,16,Saturday,4
2018-06-23,2018,6,23,Saturday,2
2018-08-06,2018,8,6,Monday,3
2017-06-02,2017,6,2,Friday,2
2018-06-27,2018,6,27,Wednesday,2
2017-04-14,2017,4,14,Friday,2
2017-09-05,2017,9,5,Tuesday,3
2017-11-19,2017,11,19,Sunday,4
2017-05-10,2017,5,10,Wednesday,2
2018-03-19,2018,3,19,Monday,1
2018-03-04,2018,3,4,Sunday,1
2018-08-12,2018,8,12,Sunday,3
2017-10-18,2017,10,18,Wednesday,4
2017-08-28,2017,8,28,Monday,3
2017-05-11,2017,5,11,Thursday,2
2017-12-27,2017,12,27,Wednesday,4
2017-06-08,2017,6,8,Thursday,2
2017-10-17,2017,10,17,Tuesday,4
2017-09-08,2017,9,8,Friday,3
2017-04-25,2017,4,25,Tuesday,2
2018-03-08,2018,3,8,Thursday,1
2017-10-06,2017,10,6,Friday,4
2018-05-19,2018,5,19,Saturday,2
2017-08-05,2017,8,5,Saturday,3
2017-10-31,2017,10,31,Tuesday,4
2018-06-19,2018,6,19,Tuesday,2
2018-03-16,2018,3,16,Friday,1
2017-10-12,2017,10,12,Thursday,4
2017-04-29,2017,4,29,Saturday,2
2017-10-09,2017,10,9,Monday,4
2018-01-26,2018,1,26,Friday,1
2017-01-27,2017,1,27,Friday,1
2017-04-03,2017,4,3,Monday,2
2017-09-14,2017,9,14,Thursday,3
2017-02-17,2017,2,17,Friday,1
2017-01-25,2017,1,25,Wednesday,1
2018-06-15,2018,6,15,Friday,2
2017-01-14,2017,1,14,Saturday,1
2018-05-20,2018,5,20,Sunday,2
2017-05-21,2017,5,21,Sunday,2
2018-03-14,2018,3,14,Wednesday,1
2018-01-17,2018,1,17,Wednesday,1
2018-07-20,2018,7,20,Friday,3
2017-12-14,2017,12,14,Thursday,4
2018-04-02,2018,4,2,Monday,2
2018-07-04,2018,7,4,Wednesday,3
2017-04-13,2017,4,13,Thursday,2
2018-04-30,2018,4,30,Monday,2
2017-05-03,2017,5,3,Wednesday,2
2017-11-20,2017,11,20,Monday,4
2017-12-23,2017,12,23,Saturday,4
2017-12-03,2017,12,3,Sunday,4
2017-11-02,2017,11,2,Thursday,4
2017-06-23,2017,6,23,Friday,2
2018-05-10,2018,5,10,Thursday,2
2017-02-13,2017,2,13,Monday,1
2017-03-19,2017,3,19,Sunday,1
2017-11-03,2017,11,3,Friday,4
2018-05-06,2018,5,6,Sunday,2
2018-05-03,2018,5,3,Thursday,2
2018-01-01,2018,1,1,Monday,1
2017-02-07,2017,2,7,Tuesday,1
2017-03-23,2017,3,23,Thursday,1
2017-02-11,2017,2,11,Saturday,1
2018-08-27,2018,8,27,Monday,3
2017-02-06,2017,2,6,Monday,1
2018-05-18,2018,5,18,Friday,2
2017-06-26,2017,6,26,Monday,2
2018-02-24,2018,2,24,Saturday,1
2018-03-23,2018,3,23,Friday,1
2018-01-04,2018,1,4,Thursday,1
2017-08-16,2017,8,16,Wednesday,3
2018-05-21,2018,5,21,Monday,2
2018-05-12,2018,5,12,Saturday,2
2018-01-03,2018,1,3,Wednesday,1
2017-07-12,2017,7,12,Wednesday,3
2018-06-14,2018,6,14,Thursday,2
2018-01-15,2018,1,15,Monday,1
2017-03-04,2017,3,4,Saturday,1
2017-07-04,2017,7,4,Tuesday,3
2018-04-24,2018,4,24,Tuesday,2
2018-05-31,2018,5,31,Thursday,2
2017-12-10,2017,12,10,Sunday,4
2017-07-27,2017,7,27,Thursday,3
2018-04-19,2018,4,19,Thursday,2
2018-08-19,2018,8,19,Sunday,3
2018-05-26,2018,5,26,Saturday,2
2017-09-21,2017,9,21,Thursday,3
2018-05-13,2018,5,13,Sunday,2
2018-02-16,2018,2,16,Friday,1
2017-03-10,2017,3,10,Friday,1
2017-10-28,2017,10,28,Saturday,4
2017-07-03,2017,7,3,Monday,3
2018-01-06,2018,1,6,Saturday,1
2018-03-03,2018,3,3,Saturday,1
2017-10-22,2017,10,22,Sunday,4
2018-03-10,2018,3,10,Saturday,1
2018-01-21,2018,1,21,Sunday,1
2018-08-07,2018,8,7,Tuesday,3
2017-04-15,2017,4,15,Saturday,2
2017-02-25,2017,2,25,Saturday,1
2017-09-16,2017,9,16,Saturday,3
2017-03-24,2017,3,24,Friday,1
2017-05-31,2017,5,31,Wednesday,2
2017-03-08,2017,3,8,Wednesday,1
2017-05-02,2017,5,2,Tuesday,2
2017-06-19,2017,6,19,Monday,2
2017-11-23,2017,11,23,Thursday,4
2018-05-05,2018,5,5,Saturday,2
2018-03-06,2018,3,6,Tuesday,1
2017-06-20,2017,6,20,Tuesday,2
2017-08-02,2017,8,2,Wednesday,3
2018-04-28,2018,4,28,Saturday,2
2018-04-12,2018,4,12,Thursday,2
2018-01-28,2018,1,28,Sunday,1
2018-02-23,2018,2,23,Friday,1
2017-09-17,2017,9,17,Sunday,3
2018-02-12,2018,2,12,Monday,1
2017-05-06,2017,5,6,Saturday,2
2017-08-14,2017,8,14,Monday,3
2017-02-10,2017,2,10,Friday,1
2018-06-22,2018,6,22,Friday,2
2018-06-21,2018,6,21,Thursday,2
2017-01-22,2017,1,22,Sunday,1
2018-04-08,2018,4,8,Sunday,2
2018-06-20,2018,6,20,Wednesday,2
2017-05-07,2017,5,7,Sunday,2
2018-07-17,2018,7,17,Tuesday,3
2017-02-26,2017,2,26,Sunday,1
2018-04-06,2018,4,6,Friday,2
2018-03-21,2018,3,21,Wednesday,1
2017-05-25,2017,5,25,Thursday,2
2017-08-20,2017,8,20,Sunday,3
2017-03-29,2017,3,29,Wednesday,1
2017-12-28,2017,12,28,Thursday,4
2018-03-24,2018,3,24,Saturday,1
2017-03-07,2017,3,7,Tuesday,1
2017-06-10,2017,6,10,Saturday,2
2017-11-08,2017,11,8,Wednesday,4
2017-08-03,2017,8,3,Thursday,3
2017-03-25,2017,3,25,Saturday,1
2018-07-16,2018,7,16,Monday,3
2017-03-27,2017,3,27,Monday,1
2017-10-27,2017,10,27,Friday,4
2017-12-25,2017,12,25,Monday,4
2017-03-05,2017,3,5,Sunday,1
2018-05-28,2018,5,28,Monday,2
2017-03-01,2017,3,1,Wednesday,1
2017-07-19,2017,7,19,Wednesday,3
2017-07-26,2017,7,26,Wednesday,3
2018-04-05,2018,4,5,Thursday,2
2017-07-14,2017,7,14,Friday,3
2017-09-06,2017,9,6,Wednesday,3
2017-10-01,2017,10,1,Sunday,4
2017-05-05,2017,5,5,Friday,2
2018-04-14,2018,4,14,Saturday,2
2018-08-25,2018,8,25,Saturday,3
2017-06-06,2017,6,6,Tuesday,2
2017-07-23,2017,7,23,Sunday,3
2017-07-11,2017,7,11,Tuesday,3
2018-08-15,2018,8,15,Wednesday,3
2017-06-24,2017,6,24,Saturday,2
2018-02-04,2018,2,4,Sunday,1
2018-04-23,2018,4,23,Monday,2
2017-04-24,2017,4,24,Monday,2
2017-03-15,2017,3,15,Wednesday,1
2017-11-14,2017,11,14,Tuesday,4
2017-05-12,2017,5,12,Friday,2
2018-02-18,2018,2,18,Sunday,1
2018-02-07,2018,2,7,Wednesday,1
2018-06-10,2018,6,10,Sunday,2
2017-04-18,2017,4,18,Tuesday,2
2017-04-12,2017,4,12,Wednesday,2
2017-10-29,2017,10,29,Sunday,4
2017-08-11,2017,8,11,Friday,3
2017-04-04,2017,4,4,Tuesday,2
2017-03-31,2017,3,31,Friday,1
2018-04-20,2018,4,20,Friday,2
2017-08-24,2017,8,24,Thursday,3
2017-11-07,2017,11,7,Tuesday,4
2017-10-13,2017,10,13,Friday,4
2017-06-15,2017,6,15,Thursday,2
2017-08-15,2017,8,15,Tuesday,3
2018-03-02,2018,3,2,Friday,1
2017-08-22,2017,8,22,Tuesday,3
2017-08-06,2017,8,6,Sunday,3
2018-08-17,2018,8,17,Friday,3
2017-01-26,2017,1,26,Thursday,1
2018-03-11,2018,3,11,Sunday,1
2017-02-02,2017,2,2,Thursday,1
2018-03-25,2018,3,25,Sunday,1
2017-07-20,2017,7,20,Thursday,3
2017-06-18,2017,6,18,Sunday,2
2017-02-22,2017,2,22,Wednesday,1
2017-03-12,2017,3,12,Sunday,1
2018-04-29,2018,4,29,Sunday,2
2018-02-26,2018,2,26,Monday,1
2017-08-21,2017,8,21,Monday,3
2017-09-25,2017,9,25,Monday,3
2017-09-04,2017,9,4,Monday,3
2017-05-22,2017,5,22,Monday,2
2017-10-08,2017,10,8,Sunday,4
2017-07-15,2017,7,15,Saturday,3
2017-10-15,2017,10,15,Sunday,4
2018-03-20,2018,3,20,Tuesday,1
2017-10-07,2017,10,7,Saturday,4
2017-09-09,2017,9,9,Saturday,3
2017-05-24,2017,5,24,Wednesday,2
2017-03-21,2017,3,21,Tuesday,1
2017-01-31,2017,1,31,Tuesday,1
2018-08-28,2018,8,28,Tuesday,3
2017-11-10,2017,11,10,Friday,4
2017-05-27,2017,5,27,Saturday,2
2018-08-13,2018,8,13,Monday,3
2017-10-23,2017,10,23,Monday,4
2017-10-20,2017,10,20,Friday,4
2018-08-23,2018,8,23,Thursday,3
2017-08-30,2017,8,30,Wednesday,3
2017-08-27,2017,8,27,Sunday,3
2017-04-08,2017,4,8,Saturday,2
2017-02-18,2017,2,18,Saturday,1
2018-03-28,2018,3,28,Wednesday,1
2017-02-24,2017,2,24,Friday,1
2017-06-11,2017,6,11,Sunday,2
2017-07-06,2017,7,6,Thursday,3
2018-06-02,2018,6,2,Saturday,2
2017-09-01,2017,9,1,Friday,3
2018-07-19,2018,7,19,Thursday,3
2017-03-03,2017,3,3,Friday,1
2018-03-05,2018,3,5,Monday,1
2018-04-27,2018,4,27,Friday,2
2017-01-19,2017,1,19,Thursday,1
2017-07-21,2017,7,21,Friday,3
2017-06-14,2017,6,14,Wednesday,2
2017-05-01,2017,5,1,Monday,2
2017-04-28,2017,4,28,Friday,2
2017-09-22,2017,9,22,Friday,3
2017-05-13,2017,5,13,Saturday,2
2017-04-09,2017,4,9,Sunday,2
2018-01-20,2018,1,20,Saturday,1
2018-07-14,2018,7,14,Saturday,3
2018-06-29,2018,6,29,Friday,2
2017-06-07,2017,6,7,Wednesday,2
2017-08-08,2017,8,8,Tuesday,3
2017-10-30,2017,10,30,Monday,4
2017-08-13,2017,8,13,Sunday,3
2018-04-21,2018,4,21,Saturday,2
2017-09-28,2017,9,28,Thursday,3
2017-09-23,2017,9,23,Saturday,3
2016-10-04,2016,10,4,Tuesday,4
2017-02-28,2017,2,28,Tuesday,1
2017-02-04,2017,2,4,Saturday,1
2017-12-18,2017,12,18,Monday,4
2017-10-14,2017,10,14,Saturday,4
2017-04-10,2017,4,10,Monday,2
2017-06-30,2017,6,30,Friday,2
2016-10-07,2016,10,7,Friday,4
2017-11-12,2017,11,12,Sunday,4
2017-07-18,2017,7,18,Tuesday,3
2017-11-01,2017,11,1,Wednesday,4
2017-04-07,2017,4,7,Friday,2
2018-06-17,2018,6,17,Sunday,2
2017-08-18,2017,8,18,Friday,3
2017-08-29,2017,8,29,Tuesday,3
2017-06-12,2017,6,12,Monday,2
2017-08-25,2017,8,25,Friday,3
2018-04-07,2018,4,7,Saturday,2
2017-02-16,2017,2,16,Thursday,1
2017-03-11,2017,3,11,Saturday,1
2017-05-28,2017,5,28,Sunday,2
2017-06-01,2017,6,1,Thursday,2
2017-01-15,2017,1,15,Sunday,1
2017-07-25,2017,7,25,Tuesday,3
2017-01-12,2017,1,12,Thursday,1
2017-03-26,2017,3,26,Sunday,1
2018-09-20,2018,9,20,Thursday,3
2018-05-22,2018,5,22,Tuesday,2
2017-01-30,2017,1,30,Monday,1
2018-05-29,2018,5,29,Tuesday,2
2017-09-30,2017,9,30,Saturday,3
2017-01-29,2017,1,29,Sunday,1
2017-02-27,2017,2,27,Monday,1
2017-12-29,2017,12,29,Friday,4
2017-01-17,2017,1,17,Tuesday,1
2018-08-29,2018,8,29,Wednesday,3
2017-06-22,2017,6,22,Thursday,2
2017-06-09,2017,6,9,Friday,2
2017-09-24,2017,9,24,Sunday,3
2017-06-28,2017,6,28,Wednesday,2
2017-02-03,2017,2,3,Friday,1
2017-10-21,2017,10,21,Saturday,4
2017-08-19,2017,8,19,Saturday,3
2017-10-03,2017,10,3,Tuesday,4
2018-08-18,2018,8,18,Saturday,3
2017-12-13,2017,12,13,Wednesday,4
2017-08-12,2017,8,12,Saturday,3
2018-07-09,2018,7,9,Monday,3
2017-09-07,2017,9,7,Thursday,3
2018-03-22,2018,3,22,Thursday,1
2017-04-21,2017,4,21,Friday,2
2017-09-02,2017,9,2,Saturday,3
2017-06-03,2017,6,3,Saturday,2
2017-03-16,2017,3,16,Thursday,1
2018-07-07,2018,7,7,Saturday,3
2017-04-17,2017,4,17,Monday,2
2017-06-21,2017,6,21,Wednesday,2
2018-07-10,2018,7,10,Tuesday,3
2017-05-30,2017,5,30,Tuesday,2
2017-03-20,2017,3,20,Monday,1
2017-02-21,2017,2,21,Tuesday,1
2017-01-24,2017,1,24,Tuesday,1
2018-03-13,2018,3,13,Tuesday,1
2017-08-07,2017,8,7,Monday,3
2017-02-09,2017,2,9,Thursday,1
2017-03-02,2017,3,2,Thursday,1
2017-02-15,2017,2,15,Wednesday,1
2017-11-05,2017,11,5,Sunday,4
2017-01-13,2017,1,13,Friday,1
2017-02-05,2017,2,5,Sunday,1
2018-07-08,2018,7,8,Sunday,3
2017-03-18,2017,3,18,Saturday,1
2017-12-30,2017,12,30,Saturday,4
2017-02-01,2017,2,1,Wednesday,1
2017-12-31,2017,12,31,Sunday,4
2017-05-04,2017,5,4,Thursday,2
2017-01-16,2017,1,16,Monday,1
2017-07-07,2017,7,7,Friday,3
2017-10-10,2017,10,10,Tuesday,4
2017-04-02,2017,4,2,Sunday,2
2017-11-04,2017,11,4,Saturday,4
2017-03-17,2017,3,17,Friday,1
2017-04-05,2017,4,5,Wednesday,2
2016-09-05,2016,9,5,Monday,3
2016-09-04,2016,9,4,Sunday,3
2016-10-10,2016,10,10,Monday,4
2017-04-23,2017,4,23,Sunday,2
2018-09-13,2018,9,13,Thursday,3
2016-10-06,2016,10,6,Thursday,4
2017-02-14,2017,2,14,Tuesday,1
2017-04-01,2017,4,1,Saturday,2
2016-10-08,2016,10,8,Saturday,4
2017-02-19,2017,2,19,Sunday,1
2017-01-18,2017,1,18,Wednesday,1
2016-10-03,2016,10,3,Monday,4
2017-04-16,2017,4,16,Sunday,2
2016-10-09,2016,10,9,Sunday,4
2017-01-20,2017,1,20,Friday,1
2017-01-11,2017,1,11,Wednesday,1
2018-09-11,2018,9,11,Tuesday,3
2016-09-13,2016,9,13,Tuesday,3
2017-01-07,2017,1,7,Saturday,1
2017-01-08,2017,1,8,Sunday,1
2018-09-17,2018,9,17,Monday,3
2018-08-30,2018,8,30,Thursday,3
2018-09-06,2018,9,6,Thursday,3
2017-01-06,2017,1,6,Friday,1
2018-09-03,2018,9,3,Monday,3
2016-09-15,2016,9,15,Thursday,3
2018-09-10,2018,9,10,Monday,3
2018-10-03,2018,10,3,Wednesday,4
2017-01-10,2017,1,10,Tuesday,1
2018-09-25,2018,9,25,Tuesday,3
2018-09-26,2018,9,26,Wednesday,3
2016-12-23,2016,12,23,Friday,4
2017-01-09,2017,1,9,Monday,1
2018-09-29,2018,9,29,Saturday,3
2016-10-22,2016,10,22,Saturday,4
2018-10-17,2018,10,17,Wednesday,4
2018-10-16,2018,10,16,Tuesday,4
2018-09-12,2018,9,12,Wednesday,3
2016-10-02,2016,10,2,Sunday,4
2018-10-01,2018,10,1,Monday,4
2018-08-31,2018,8,31,Friday,3
